Answer.Q1Answer,Input.word1,Input.word2
yes,rodent,डारमाउस
yes,rodent,हम्सटर
yes,rodent,हैम्स्टर
yes,rodent,चूहा
yes,rodent,साही
yes,rodent,जसबोआ
yes,rodent,चिनचिला
yes,rodent,माउस
yes,rodent,गिलहरी
yes,rodent,चूहे
no,rodent,मारा
yes,rodent,धूस
yes,rodent,लेम्मिंग
no,rodent,कैपीबारा
yes,rodent,छछूँदर
no,rodent,गुंडी
yes,rodent,गोफर
yes,trait,अनुशासनहीनता
yes,trait,चरित्र
yes,trait,कंजूसी
no,trait,अनुशासन
yes,trait,व्यवहार
yes,trait,स्त्रीत्व
no,trait,असमंजस
no,trait,सफाई
no,trait,भावनाओं
yes,trait,विनम्रता
yes,trait,प्रकृति
yes,trait,नेचर
yes,trait,लचीलापन
yes,trait,अकड़
no,trait,मालिन्य
yes,trait,वैनिटी
yes,trait,घमंड
yes,trait,ग्रामीणता
yes,trait,मर्दानगी
yes,trait,विश्वसनीयता
yes,trait,विश्ववस्तता
yes,trait,बातूनीपनता
no,trait,अविश्वास
no,trait,ड्राइव
no,trait,ज्ञान
no,trait,विश्वास
no,trait,ट्रस्ट
no,trait,भरोसा
no,tree,टिड्डी
no,tree,केतकी
yes,tree,पौधा
no,tree,नौनिहाल
no,tree,लौकी
no,tree,हुक़्क़ुम
no,tree,कुंज
no,tree,हथेली
yes,tree,एल्म
no,tree,भूरा
yes,tree,शाहबलूत
no,tree,बीच
yes,tree,रोजवुड
yes,tree,महोगनी
yes,tree,विलो
yes,tree,मोंटेज़ुमा
yes,tree,सन्टी
yes,tree,भूर्ज
yes,tree,गूलर
yes,tree,शालिमुग्दर
no,tree,राख
no,tree,कॉफी
no,tree,कॉफ़ी
no,tree,रोड़ा
yes,tree,हानबीन
yes,tree,सागौन
no,tree,बाँज
yes,tree,ओक
yes,tree,बबूल
yes,tree,अल्बिजिया
no,tree,पिस्ता
yes,tree,मेपल
yes,tree,तरुवाटिका
no,tree,सरल
no,tree,सजाना
no,tree,पायनेसीए
no,tree,रोवाण
yes,tree,ज़ैतून
yes,tree,जैतून
no,tree,गटापारचा
no,tree,कागज
no,tree,अनार
no,tree,दालचीनी
yes,tree,टेक्सस
yes,tree,मैन्ग्रोव
yes,tree,सदाबहार
no,tree,कृषिवानिकी
yes,tree,कटहल
yes,tree,जिन्कगो
yes,tree,छाल
yes,tree,बरगद
no,tree,कुल्हाड़ी
yes,tree,नीलगिरी
no,tree,बादाम
yes,tree,पाइन
yes,tree,चीड़
no,tree,कनेर
yes,tree,क्षुप
yes,tree,झाड़ी
no,tree,कोको
no,tree,लॉगिंग
no,tree,प्रवेश
yes,tree,सैंसफ्रैंस
yes,tree,कल्पवृक्ष
no,tree,इमली
no,tree,जायफल
yes,tree,फलोद्यान
yes,feeling,आशा
yes,feeling,पसंद
yes,feeling,उभयभाविका
no,feeling,जटिल
no,feeling,सेक्स
no,feeling,लिंग
yes,feeling,आभार
yes,feeling,खुशी
no,feeling,बात
yes,feeling,कृतध्नता
yes,feeling,स्नेह
yes,feeling,उम्मीद
yes,feeling,निराशा
yes,feeling,गंभीरता
yes,feeling,जुनून
yes,feeling,भावना
no,feeling,बहादुरी
yes,feeling,विस्मय
no,feeling,प्रभावित
no,feeling,आंदोलन
yes,feeling,इच्छा
yes,feeling,उदासीनता
yes,feeling,आनन्द
yes,feeling,दर्द
no,feeling,आत्मा
yes,feeling,मूड
yes,feeling,उत्साह
yes,feeling,सहानुभूति
yes,feeling,उदासी
yes,feeling,हताशा
yes,feeling,शर्म
yes,feeling,अकेलापन
no,herbivore,मुर्दाखोर
no,herbivore,मेहतर
yes,symptom,घबराहट
yes,symptom,सिंड्रोम
yes,symptom,संलक्षण
yes,symptom,मतली
no,symptom,क्लब
yes,symptom,अकड़ना
yes,symptom,अन्नसारमेह
yes,symptom,श्वेतकमेह
yes,symptom,क्षिप्रता
yes,symptom,अल्पशर्करारक्तता
yes,symptom,अधोमधुरक्तता
yes,symptom,ऐंठन
yes,symptom,फोड़ा
yes,symptom,विद्रधि
no,symptom,अतिकैल्शियमरक्तता
no,symptom,नाब्युला
no,symptom,नीहारिका
no,symptom,पीलिया
yes,symptom,अप्रतिवर्तता
yes,symptom,कब्ज
no,symptom,सख्त
yes,symptom,अल्पमूत्रता
yes,symptom,दस्त
yes,symptom,अतिसार
yes,symptom,रक्तमेह
no,symptom,झुनझुनी
yes,symptom,कंपकपाहट
yes,symptom,कांप
yes,symptom,खांसी
yes,symptom,हिचकी
yes,symptom,चक्कर
yes,symptom,भ्रमि
yes,symptom,एनीमिया
yes,symptom,सूजन
no,symptom,प्रभाव
yes,symptom,छींक
no,symptom,विस्फोट
yes,symptom,नासास्त्राव
yes,symptom,नीलिमा
yes,symptom,हाइपरस्प्लेनिज्म
yes,symptom,टिनिटस
yes,symptom,रक्तकणरंजकद्रव्यमेह
no,symptom,हृद्बृहत्ता
no,symptom,निशान
no,symptom,शोष
no,symptom,क्षारमेह
yes,symptom,मूत्रलता
yes,symptom,हाइपरलिपिडिमिया
yes,symptom,अपच
yes,symptom,डिस्पेप्शिया
no,symptom,फ्लोटर
yes,symptom,एपनिया
yes,symptom,श्वासरोध
yes,symptom,रक्तनिष्ठीवन
yes,symptom,ज्वर
yes,symptom,बुखार
yes,symptom,श्वासकष्ट
yes,symptom,अत्यार्तव
no,symptom,आभा
yes,symptom,अनार्तव
no,symptom,ईर्ष्या
no,symptom,नाराज़गी
yes,symptom,अतिवसारक्तता
no,symptom,अरुचि
no,symptom,आहार
yes,symptom,कमजोरी
yes,symptom,निगरणकष्ट
no,symptom,खुजली
yes,chemical_substance,विस्फोटक
yes,chemical_substance,कीटनाशी
yes,chemical_substance,कीटनाशक
yes,chemical_substance,शाकनाशी
yes,chemical_substance,शाकनाशक
yes,chemical_substance,मृदुकर
no,chemical_substance,पादपरसायन
yes,chemical_substance,उर्वरक
yes,chemical_substance,धुआंरी
no,chemical_substance,प्रवाह
no,chemical_substance,उत्पाद
no,chemical_substance,मध्यवर्ती
no,chemical_substance,अंश
no,chemical_substance,भिन्न
no,chemical_substance,उत्प्रेरण
no,chemical_substance,कटैलिसीस
yes,chemical_substance,पानी
no,chemical_substance,जल
yes,chemical_substance,कांच
yes,chemical_substance,गिलास
no,chemical_substance,सामग्री
no,chemical_substance,विषाक्तता
yes,chemical_substance,मेथनॉल
no,chemical_substance,हार्मोन
no,chemical_substance,हॉर्मोन
yes,chemical_substance,तेल
yes,chemical_substance,प्लास्टिक
yes,chemical_substance,प्रदूषक
yes,chemical_substance,दवा
yes,chemical_substance,ईंधन
no,chemical_substance,आधार
yes,chemical_substance,क्षार
no,chemical_substance,विलयन
yes,chemical_substance,विलायक
yes,chemical_substance,अभिकर्मक
yes,chemical_substance,एंटीबायोटिक
yes,chemical_substance,बारूद
yes,chemical_substance,डायनामाइट
yes,science,बीज-लेखन
yes,science,क्रिप्टोग्राफी
no,science,पोषण
yes,science,गणित
yes,science,भाषाविज्ञान
no,science,वैज्ञानिक
yes,science,सस्यविज्ञान
yes,science,मैट्रोलोजी
yes,science,धातुकर्म
yes,science,मनोविज्ञान
no,science,छलविद्या
no,science,सत्तामीमांसा
no,science,आंटलजी
no,science,शिक्षाशास्त्र
yes,science,भूगोल
no,science,तर्क
no,science,तर्कशास्त्र
no,science,जीवाणु
no,science,सर्वेक्षण
no,science,पैमाइश
yes,science,ऊष्मारसायन
yes,science,फार्माकोलॉजी
yes,science,औषध-प्रभाव-विज्ञान
no,science,युनेस्को
no,science,यूनेस्को
yes,science,भूविज्ञान
yes,science,वैमानिकी
yes,science,इम्यूनोलॉजी
yes,science,इम्मुनोलोगि
no,science,संगोष्ठी
no,science,सम्मेलन
no,science,तालमेल
no,science,वर्गिकी
yes,science,मिसरशास्र
no,science,प्रौद्योगिकी
no,science,हेर्मेनेयुटिक्स
yes,science,इलेक्ट्रॉनिक्स
yes,science,इलेक्ट्रानिक्स
yes,science,इलैक्ट्रॉनिक्स
no,science,प्रकृति
no,science,नेचर
yes,science,यांत्रिकी
no,science,आनुवंशिकी
no,science,तथ्य
yes,science,प्रक्षेपिकी
no,science,सीखने
no,science,अधिगम
no,science,जीवाश्म
yes,science,जियोइन्फारमैटिक्स
yes,science,भूसूचनाविज्ञान
no,science,भूरसायन
no,science,वानिकी
no,science,संकरण
no,science,दूरसंचार
no,science,उदाहरण
no,science,श्रवणगम्यता
no,science,ध्वनिकी
yes,science,वायुगतिकी
yes,science,बागवानी
no,science,क्रि
yes,science,क्रिस्टलकी
no,science,यूक्लिड
no,science,इंजीनियर
no,science,अभियन्ता
no,science,अभियंता
no,science,छायाचित्र
no,science,फोटोग्राफी
no,science,कालक्रम
no,science,वित्त
no,flora,बारहमासी
no,flora,जलीय
no,flora,भागने
yes,flora,फ़सल
yes,flora,फसल
no,flora,अघिजीव
no,flora,अधिपादप
no,flora,द्विवार्षिक
no,flora,भ्रूण
no,flora,स्थानिक
no,flora,स्वपोषी
yes,flora,एक्रोजन
no,flora,सजावटी
yes,flora,अपुष्पी
yes,flora,क्रिप्टोगैम
yes,flora,द्विबीपत्री
yes,flora,द्विबीजपत्री
no,flora,कुल
no,flora,परिवार
no,flora,पुष्पोद्भिद
no,flora,पीलापन
yes,flora,शलजम
no,flora,बीज
no,flora,शैली
no,flora,पायनालेज़
yes,flora,मूली
no,flora,क्रम
no,flora,ऑर्डर
no,flora,आदेश
no,flora,गण
yes,flora,जड़ी-बूटी
yes,flora,नागदमन
yes,flora,सैल्विया
no,flora,बीजाणुधानी
no,flora,रेणुकोश
no,flora,लता
yes,flora,ट्यूलिप
no,flora,हरिता
yes,flora,काई
yes,flora,मैन्ग्रोव
yes,flora,सदाबहार
no,flora,रसीला
no,flora,पालतूकरण
no,flora,पातलू
no,flora,उर्वरक
no,flora,युडिकॉट​
no,flora,खरपतवार
no,flora,मरूद्भिद
yes,flora,हेलियनथस
yes,flora,हेलिएन्थस
yes,flora,विलो
no,flora,किस्म
yes,flora,लहसुन
no,flora,ट्रंक
yes,flora,जिन्कगो
no,flora,अनावृतबीजी
no,flora,सब्जी
no,flora,सब्ज़ी
no,flora,बादाम
yes,flora,बै्रसिका
no,flora,बीजाण्ड
no,flora,शैलो
no,flora,तिपतिया
no,flora,जीवाश्म
no,flora,तारो
yes,flora,कुसुम
no,flora,छाल
yes,flora,तरबूज़
yes,flora,तरबूज
no,flora,पराग
no,flora,खाद्यान्न
no,flora,अनाज
no,flora,काग
no,flora,लवणमृदोद्भिद
yes,flora,फली
no,flora,कूटू
yes,flora,कद्दू
no,flora,कुम्हड़ा
no,flora,प्लेग
yes,flora,घास
no,flora,लॉन
no,flora,आदत
no,flora,पीट
no,flora,इलायची
no,flora,गेहूं
no,flora,गेहूँ
no,flora,बंडा
yes,carnivore,फेलिड
yes,carnivore,भालू
no,carnivore,सहन
yes,carnivore,मुर्दाखोर
yes,carnivore,मेहतर
yes,carnivore,ऊद
no,fauna,फीडर
no,fauna,स्थागितकारी
yes,fauna,मुर्दाखोर
yes,fauna,मेहतर
no,fauna,पालतू
no,fauna,बाह्यउष्मीय
no,fauna,महिला
no,fauna,दोस्त
yes,fauna,डार्टर
no,fauna,ख़ालिस
yes,fauna,षट्पद
yes,fauna,कीटाहारी
yes,fauna,दोपाया
no,fauna,खादान
no,fauna,खदान
no,fauna,वयस्क
no,fauna,भ्रूण
no,fauna,डिंभ
no,fauna,लार्वा
yes,fauna,पुरुष
no,fauna,शिकारी
no,fauna,विशाल
no,fauna,स्टंट
yes,fauna,सर्वाहारी
yes,fauna,कीट
no,fauna,नाशीजीव
no,fauna,शिकार
no,fauna,खेल
no,fauna,उत्परिवर्ती
no,fauna,दब्बू
no,fauna,चिड़ियाघर
yes,fauna,पक्षी
yes,fauna,रोटिफेरा
no,fauna,किरीटी
no,fauna,मुँह
no,fauna,मुंह
yes,fauna,सन्धिपाद
yes,fauna,हड्डीवाला
yes,fauna,स्तनपायी
yes,fauna,स्तनधारी
yes,fauna,श्वान
yes,fauna,कुत्ते
yes,fauna,बिच्छू
yes,fauna,झींगा
yes,fauna,कृमि
yes,fauna,कीड़ा
no,fauna,जीवाश्म
no,fauna,पालतूकरण
no,fauna,पातलू
no,fauna,एकियूरा
no,fauna,प्लेग
yes,fauna,इल्ली
yes,fauna,कमला
no,fauna,कंचुकित
no,fauna,सचोली
yes,fauna,गेको
yes,fauna,डायनासोर
yes,fauna,डाइनोसोर
no,fauna,ऊन
no,fauna,जलजंतु
no,fauna,आर्कियोतेरोन
yes,fauna,मधुमक्खी
yes,fauna,केंचुआ
no,fauna,नाक
no,fauna,स्पंज
no,fauna,शंख
no,fauna,वृत्ति
no,fauna,क़साईख़ाना
yes,fauna,वूल्वरिन
no,fauna,जिगर
no,fauna,यकृत
no,fauna,अश्ववंश
no,clothing,परिवर्तन
no,clothing,बदल
no,clothing,धर्मरक्षक
no,clothing,सहायक
yes,clothing,धागे
no,clothing,उपस्थित
yes,clothing,नेकपीस
no,clothing,ग्रे
no,clothing,काला
no,clothing,काले
yes,clothing,परिधान
yes,clothing,टोपी
yes,clothing,वर्दी
yes,clothing,गणवेश
no,clothing,नीला
no,clothing,ब्लू
no,clothing,नीले
no,clothing,खींचें
no,clothing,कर्षण
yes,clothing,जूते
yes,clothing,पोशाक
yes,clothing,कपड़े
yes,clothing,वस्त्र
yes,clothing,धोती
no,clothing,भेस
yes,clothing,दस्ताने
yes,clothing,बिकनी
yes,clothing,कोट
yes,clothing,जुर्राब
yes,clothing,ब्लाउज
yes,clothing,मोजा
yes,clothing,मोज़ा
no,clothing,लटकन
yes,clothing,कोर्सेट
yes,clothing,चोली
no,clothing,ब्रेजिअर
no,clothing,बिस्तर
yes,clothing,स्कर्ट
yes,clothing,शाल
no,clothing,कैटन
yes,clothing,लेगिंग
yes,clothing,हाकामा
no,clothing,टैबर्ड
yes,clothing,बनियान
yes,clothing,बरसती
yes,clothing,कवच
yes,clothing,शर्ट
no,clothing,पर्ची
no,clothing,समग्र
yes,clothing,अंगरखा
yes,clothing,रास
yes,clothing,केप
yes,clothing,पोंचो
no,clothing,झाड़न
yes,clothing,एप्रन
yes,clothing,जैकेट
no,clothing,बकसुआ
yes,clothing,आस्तीन
yes,clothing,सूट
yes,clothing,कपड़ा
yes,clothing,स्वेटर
no,clothing,आदत
yes,clothing,लिनेन
yes,clothing,लिनन
yes,clothing,लहंगा
no,clothing,सामान
yes,clothing,चड्डी
no,clothing,टाइटस
yes,clothing,जेब
no,clothing,खेलों
no,clothing,इस्त्री
yes,clothing,बुरका
yes,clothing,बुर्का
no,game,कर्लिंग
yes,game,गेंदबाजी
no,game,गेन्दबाज़ी
no,game,कदम
no,game,कैसीनो
yes,game,चतुरंग
yes,game,बैडमिंटन
no,game,बुद्धु
no,game,बिंगो
yes,game,फरो
yes,game,महजोंग
no,game,माहजंग
yes,game,ह्विस्ट
no,game,पोर
no,game,धैर्य
no,game,क्रेप्स
no,game,राउंडर्स
yes,game,रूले
yes,game,डार्ट्स
no,game,लुडी
no,game,झींगुर
yes,game,क्रिकेट
yes,game,पोकर
yes,game,हेपस्काच
no,game,ठगना
no,game,झूला
yes,linguistics,समाजभाषाविज्ञान
no,linguistics,सामाजिक
yes,linguistics,व्युत्पत्तिशास्त्र
yes,linguistics,व्युत्पत्ति
yes,linguistics,अर्थविज्ञान
no,linguistics,भाषा
yes,linguistics,स्वनिमविज्ञान
no,linguistics,टोन
no,linguistics,स्वर
yes,linguistics,कोशकला
no,linguistics,शब्द
no,linguistics,मामले
yes,linguistics,कोशविज्ञान
yes,linguistics,कोशकर्म
no,linguistics,एस्पेरान्तो
no,linguistics,एस्पेरांतो
yes,linguistics,स्वनविज्ञान
yes,linguistics,ध्वनिशास्त्र
no,linguistics,शब्दावली
no,linguistics,शब्दसंग्रह
no,linguistics,शब्दकोश
no,linguistics,निओलगिज़्म
no,linguistics,बहुभाषी
no,linguistics,विषय
no,linguistics,पदावली
yes,inference,उपप्रमेय
no,inference,परिणाम
yes,inference,अनुमान
yes,inference,एक्सट्रपलेशन
yes,inference,सादृश्य
no,inference,व्युत्पत्ति
yes,inference,सामान्यीकरण
yes,bird_of_prey,बाज़
yes,bird_of_prey,गिद्ध
no,bird_of_prey,महाश्येन
yes,bird_of_prey,ईगल
yes,bird_of_prey,उल्लू
no,bird_of_prey,अर्ने
yes,bird_of_prey,ऑसप्रे
yes,bird_of_prey,बाज
no,artist,दराज
yes,artist,प्रतीकवादी
no,artist,क्लासिक
no,artist,व्याख्याता
yes,artist,रचनावादी
yes,artist,आधुनिकतावादी
yes,artist,नक़्क़ाश
yes,artist,संगीतकार
no,artist,प्रेमपूर्ण
no,artist,रोमांटिक
yes,artist,फोटोग्राफर
no,artist,उस्ताद
no,artist,मिस्ट्रल
yes,artist,कलाकार
yes,artist,अभिव्यंजनावादी
yes,artist,चित्रकार
yes,artist,अतियथार्थवादी
no,artist,इक्सप्रेस्सियुनिज़म
no,artist,अभिव्यंजनावाद
yes,fruit,बेर
yes,fruit,सेब
no,fruit,कान
yes,fruit,लौकी
yes,fruit,जैतून
yes,fruit,बीज
no,fruit,कबाबचीनी
yes,fruit,नींबू
no,fruit,नीबू
yes,fruit,पपीता
yes,fruit,तरबूज
no,fruit,तरबूज़
no,fruit,बादाम
no,fruit,हुक़्क़ुम
yes,fruit,छील
yes,fruit,छिलका
no,fruit,कैप्सूल
no,fruit,फली
no,fruit,जायफल
yes,fruit,नारंगी
yes,fruit,संतरा
yes,fruit,ख़रबूज़ा
yes,fruit,रास्पबेरी
yes,fruit,ब्लैकबेरी
no,fruit,बीजोपांग
yes,fruit,अंजीरिया
yes,fruit,चेरी
no,fruit,आलूबालू
no,fruit,स्फुटन
no,fruit,अनुप्र्थक
no,fruit,बीजाण्ड
yes,fruit,टमाटर
no,fruit,सामरा
no,fruit,स्पाइस
no,fruit,मसाला
yes,house,निवास
no,house,हेसिंडा
yes,house,भवन
yes,house,घर
yes,house,द्वैध
yes,house,षाले
yes,house,हवेली
yes,house,बंगला
yes,house,केबिन
yes,house,विला
yes,house,फार्महाउस
yes,house,छत
yes,house,होटल
yes,house,सॉना
no,house,प्रासाद
yes,house,महल
yes,house,झोंपड़ी
no,wind_instrument,अंग
yes,wind_instrument,ऑकारिना
yes,wind_instrument,सीटी
yes,wind_instrument,पाइप
yes,wind_instrument,अकार्डियन
yes,wind_instrument,हारमोनिका
yes,wind_instrument,ज़ुर्ना
no,vehicle,शिल्प
no,vehicle,शिल्पकर्म
yes,vehicle,स्लेज
yes,vehicle,रॉकेट
yes,vehicle,स्कीबॉब
yes,vehicle,गाड़ी
yes,vehicle,पहिया
yes,vehicle,चक्र
yes,vehicle,रिक्शा
