word1,word2
hand_tool,民间科学爱好者
science,心理学
symptom,心脏
weapon,機炮
flora,车前属
rodent,河狸
fruit,苹果
symptom,恶心
symptom,眼球突出
bird,周杰倫
tree,麵包樹
rodent,三趾跳
wind_instrument,低音巴松
science,天體生物學
fauna,虫
percussion_instrument,电颤琴
mammal,帶齒獸目
bird,恐鸟
musical_instrument,鐵三角
building,摩天大樓
science,細菌學
wind_instrument,風琴
bird,嗉囊
flora,薹草属
mammal,重腳目
drug,阿司匹林
fruit,瘦果
mammal,天猫座
bird,鳴禽
garment,内衣
vertebrate,鲈形目
drug,盐酸哌甲酯
bird,天鵝椅
musical_instrument,三角铁
flora,红花
building,太平间
herb,胡芦巴
building,教堂
rodent,麝鼠
drink,爱兰
symptom,迷魂記
building,工作室
reptile,喙头目
mammal,南河三
tree,葫芦
weapon,导弹
bird,恐鳥
fauna,马科
symptom,腹泻
drink,水克非尔
chemical_substance,矽藻土炸藥
drug,麻醉药品
crustacean,盲虾目
tree,檫木属
science,声学
emotion,妒忌
bird,塞壬
drug,安非他命
flora,巴拉曼蕨屬
athletics,健力
wind_instrument,低音巴松管
symptom,黄褐斑
house,雙工
feeling,失魂
tree,崖豆藤属
cutlery,复刻
bird,希爾薇婭
musical_instrument,鈴鼓
science,生死学
fauna,古蟲
building,稳定
bird,雉
herb,香薷属
food,谷物
flora,肥料
fauna,脊索动物
science,死亡學
drug,镇痛药
mammal,猫鼬
flora,鈣生植物
vehicle,悍马
house,酒店
fauna,触手纲
mammal,貂
reptile,蛇
bird,福柏
weapon,花剑
flora,隐花植物
fish,产卵
emotion,欣快
bird_of_prey,鵟
wind_instrument,葫芦丝
symptom,血尿
tree,娑羅屬
science,联合国教科文组织
fauna,蚯蚓
flora,種子
mammal,耳蜗
weapon,矛
rodent,水鼠屬
bird,日鳽
bird,红点
bird,太平鸟
building,星象儀
food,寿司
weapon,戰斧巡弋飛彈
game,賭場
furniture,告解室
weapon,刀
fauna,羊毛
herb,景天
chemical_substance,基
rodent,鼢足鼠
hand_tool,普拉訥河
musical_instrument,颤音琴
tree,南洋杉属
game,冰壺
bird,隼
mammal,猫
hand_tool,銼刀
mammal,反芻
performer,玩花样
linguistics,词汇学
fauna,海螯蝦
athletics,十項全能
mammal,統獸總目
artist,表现主义
mammal,笨腳獸
building,聯隊
reptile,贪食蛇
herb,勿忘草属
food,早午餐
drug,砷
crustacean,介形虫
food,蛋椅
bird,翠鴗科
herb,留蘭香
building,凉亭
flora,浮游植物
herb,藜
mammal,熊科
mammal,猿
fauna,胚胎
fauna,鸟
hand_tool,位面
tree,柳宿
bird_of_prey,巨鷹
fauna,突變型
food,蜂蜜
reptile,槽齿目
statement,真
anger,愤慨
herb,三叶草属
science,旗幟學
bird,海鸟
chemical_substance,燃料
bird,夜鹰科
bird,琵鷺
bird,吸蜜鳥科
wind_instrument,管子
bird,斑鸠属
flora,苔草
fauna,原尾虫
mammal,獺形狸尾獸
reptile,鐮龍科
furniture,傻瓜大闹科学城
fauna,四足類
house,宾馆
building,过家家
tree,月桂属
percussion_instrument,马林巴
statement,解釋
symptom,尿钾排泄
game,麻將
weapon,凝固汽油弹
bird,松鸡科
musical_instrument,班卓琴
hand_tool,剪
herb,報春花屬
game,躲貓貓
chemical_substance,爆炸的
cutlery,餐叉
fauna,葉足動物
musical_instrument,琴弓
chemical_substance,植物化學成分
feeling,情感
building,车库
rodent,小嘯鼠屬
science,欧几里德
herb,中提琴
house,危宿
crustacean,磷蝦
weapon,吹箭
symptom,发热
food,餓死
fauna,深栗色
rodent,毛絲鼠
statement,重报
athletics,水上运动
vehicle,柩车
artist,超现实主义
wind_instrument,巴乌
food,巴氏杀菌
statement,恳求
athletics,短跑
drug,利尿药
symptom,高脂血症
flora,地方性流行
trait,坚定
symptom,高钙尿症
berry,黑莓
symptom,打嗝
bird,佳洁士
musical_instrument,钢琴
game,关节骨
bird,鹳
feeling,忘恩负义
bird,尾綜骨鳥目
emotion,恐慌
flora,蕁麻
athletics,登山运动
drink,茶
drug,兴奋剂
emotion,勇氣
cutlery,匙
weapon,滑膛槍炮
fauna,大人
reptile,鋸齒龍科
fauna,小动物
mammal,灵长目
drug,地西泮
hand_tool,镘
flora,胚珠
reptile,乌龟
bird,鸫科
weapon,斧头
mammal,猪属
mammal,主教長
mammal,胎儿
food,意式麵食
symptom,黄疸
tree,波罗蜜
linguistics,术语集
mammal,网罟座
fruit,角果
tree,灰
athletics,赛车
symptom,流鼻涕
vehicle,靈車
weapon,机弦
drink,下午茶
athletics,循环
artist,葛饰北斋
building,中殿
vertebrate,两栖动物
drug,医学
mammal,达马
tree,斧头
game,印度鬥獸棋
mammal,瘤胃
feeling,害羞
weapon,竹刀
fruit,果序
drink,苹果酒
drink,柠檬水
fruit,肉豆蔻
tree,蒙特苏马
game,骨牌
science,教育学
musical_instrument,男低音
athletics,柔道
reptile,鰭龍超目
food,饑荒
hand_tool,方
fish,鱼种
statement,注释
weapon,绞喉
herb,迷迭香属
garment,插肩
rodent,洞鼠屬
herb,山葵
flora,郁金香
mammal,食虫目
trait,强迫症
herb,荚果
mammal,鼬
flora,家庭
flora,大花草科
statement,说明者
game,馬來播棋
symptom,咯血
bird,蟹鸻
flora,装饰
crustacean,糠虾目
reptile,蛇颈龙
bird,鹈鹕
bird,雨燕目
mammal,长爪沙鼠
feeling,感情
chemical_substance,溶剂
flora,湿生植物
musical_instrument,长号
food,摄取
mammal,小鼠属
science,摄影
crustacean,十足目
bird_of_prey,隼
herb,芦笋
musical_instrument,双簧管
symptom,排钠
linguistics,微观语言学
symptom,酮症
athletics,赛场裁判员
bird,秧鹤
bird,咬鹃科
fruit,種子
flora,草
flora,常绿
tree,山楂
mammal,皺胃
bird,鹡鸰属
fauna,雄性
berry,著魔嗎·久等了
bird,鸻形目
mammal,爪兽
linguistics,語言
tree,开心果
bird,燕鳥
fruit,翅果
fauna,天外魔蛛
building,洋亭
drug,苯丙胺
statement,單詞
percussion_instrument,箱鼓
symptom,脾功能亢进
science,杂交
fauna,动物园
percussion_instrument,鐵片琴
fruit,胞果
building,学校
drink,奶昔
chemical_substance,分數
house,地球很美有賴你
drink,汽酒
bird,鸦鹃属
feeling,羞耻
artist,插图作者
drug,镇痛
flora,軟木塞
chemical_substance,杀幼虫剂
reptile,海龍目
bird,恶劣的鸟
tree,云杉属
athletics,田径十项全能运动
bird,警笛
flora,牛蒡子
garment,泳衣
science,航空学
rodent,島鼠屬
illness,疾病
symptom,前驱症状
reptile,長吻鱷科
reptile,始鱷目
science,逻辑
linguistics,通晓数种语言
fruit,榕果
mammal,树懒
tree,桤木属
building,曾咏韩
crustacean,介形蟲
rodent,棘鼠科
mammal,网
science,電磁力
science,化學超男子
garment,裹腿
trait,不洁
game,極限遊戲
chemical_substance,污染物
fauna,食腐動物
bird,孔子鳥科
mammal,鹿
fauna,节肢动物
mammal,亥
reptile,巳
tree,爪哇木棉属
fauna,轮形动物门
bird_of_prey,百富勤
tree,果园
hand_tool,奪魂鋸系列
mammal,跗
food,巧克力
food,超級市場
game,地擲球
flora,荨麻
hand_tool,平方
fauna,毛蟲
linguistics,用语
rodent,豪猪亚目
mammal,中國袋獸
mammal,熊族
herb,船塢
game,擲距骨
symptom,嗝
herb,郁金香
hand_tool,鶴嘴鋤
food,蛋糕
herb,苦菊
chemical_substance,激素
crustacean,磷虾
symptom,伤害
tree,瓦蒂薩屬
furniture,灯
weapon,長柄槍
flora,芜菁
performer,音乐家
tree,乳油木
reptile,翼龙
musical_instrument,鐘琴
berry,葡萄
chemical_substance,化学试剂
fauna,鐵血戰士
building,建筑
game,隐藏和寻求
crustacean,腹足
musical_instrument,低音巴松管
bird,食火鸡
herb,斑鸠
drug,激动剂
mammal,皱胃
symptom,脓尿
musical_instrument,电颤琴
reptile,喙嘴翼龍亞目
rodent,小鼠属
feeling,魂
rodent,跳鼠
weapon,戈
trait,诚信
tree,樟属
vertebrate,胎儿
vehicle,自行車
mammal,下丘脑
fauna,昆虫
bird,鸻
fruit,荚果
weapon,滑膛炮
flora,苔藓植物
fauna,宠物
bird,胡桃夾子
bird,鸵鸟
mammal,犰狳
mammal,海牛目
fauna,抑制物
herb,椒草属
tree,合欢
athletics,网球
feeling,快樂
rodent,八齿鼠科
herb,亚麻
symptom,疤痕
reptile,三稜龍目
flora,茛
drug,死藤水
musical_instrument,小號
flora,蕓薹屬
house,狂潮
musical_instrument,二胡
game,拉密牌
vertebrate,胎兒
science,园艺
bird,企鹅人
tree,银杏属
game,马蹄铁
herb,麝香草
fruit,奥朗格
science,诠释学
drink,冰沙
symptom,吞咽困难
symptom,无反射
statement,归结原理
weapon,幽靈刺客
bird,反鳥
bird,鬚鴷科
percussion_instrument,编钟
reptile,蜥蜴人
fauna,巨人
herb,红花
bird,美冠鹦鹉
flora,西瓜
rodent,無尾刺豚鼠
mammal,家山羊
science,天体生物学
food,仙饌密酒
reptile,無孔亞綱
science,化學
bird,乌鸦
percussion_instrument,鐃鈸
flora,两年一度的
vehicle,火箭弹
performer,极客
statement,一致
fauna,尾索动物亚门
hand_tool,鋸
flora,蕪菁甘藍
musical_instrument,絃鳴樂器
bird_of_prey,鹗
science,本体论
trait,自我中心主義
musical_instrument,铃鼓
emotion,喪慟
bird,雀形目
mammal,河马
bird,乌鸦座
flora,白豆蔻
crustacean,口足
bird,鹮嘴鹬
herb,光果甘草
garment,连身衣
herb,豬屎豆屬
fauna,纯种
linguistics,音位學
crustacean,橈腳類
statement,命题
reptile,巴西利斯克
mammal,獅虎
reptile,鱗龍超目
vehicle,车
weapon,火焰喷射器
herb,香薷
artist,版画家
herb,峨参属
herb,黄春菊
bird,伯劳
building,酒店
athletics,游艇
chemical_substance,植物化学成分
percussion_instrument,钟琴
herb,欧防风
bird,反鳥亞綱
mammal,雙門齒目
trait,女人味
bird,沙鸡科
reptile,克勞迪歐蜥屬
vehicle,悍馬
rodent,长尾刺豚鼠属
fruit,樹莓
flora,軀幹
building,高层
weapon,弓
herb,薄荷糖
performer,操纵木偶的人
herb,金印草
herb,苜
flora,草地
trait,行為
house,小屋
inference,导子
mammal,狐獴
linguistics,人名學
trait,棘手
athletics,短柄牆球
science,地质学
flora,樹幹
tree,接骨木属
percussion_instrument,響板
linguistics,詞彙角色扮演遊戲
symptom,血红蛋白血症
musical_instrument,雙簧管
tree,树苗
herb,大黄
fruit,番茄
tree,龙脑香
bird,鸡形目
drug,掺杂
bird,金丝燕属
vehicle,三轮车
furniture,数据库表
mammal,海牛
bird,鴕鳥屬
trait,交际性
athletics,遊艇
garment,尿片
flora,常绿植物
drink,蜂蜜酒
bird_of_prey,貓頭鷹
mammal,大猩猩
fruit,荜澄茄
reptile,腫肋龍科
musical_instrument,鼓
fauna,吸血
game,井字棋
fauna,线虫
bird,始祖鸟
musical_instrument,鼓吹
game,投球手
chemical_substance,玻璃
flora,牛蒡属
flora,草坪
herb,唇形科植物
bird,燕科
rodent,沙鼠
flora,款冬属
herb,旱芹
bird,細尾鷯鶯屬
artist,拉斐尔前派
garment,花色
flora,管胞
weapon,魚雷
hand_tool,直尺
bird_of_prey,猫头鹰
chemical_substance,产物
flora,小麦
weapon,砂漿
herb,星系
vertebrate,有颔下门
flora,栽培品种
symptom,咳嗽
bird,鹭科
reptile,鱗龍形下綱
drug,麻醉剂
fruit,梨果
fauna,海鞘
drug,益智药
hand_tool,灰匙
bird,天燕座
building,层
weapon,巴祖卡火箭筒
chemical_substance,化肥
garment,拘束衣
rodent,旅鼠
fruit,蒴果
science,冶金
drink,嘶
mammal,摩尔
herb,马齿苋
tree,栗色
house,桑拿
percussion_instrument,鐘
bird,夜鹰
building,模擬摩天樓
flora,植物標本館
chemical_substance,稳定剂
weapon,環刃
food,粗饲料
bird,百灵科
tree,松科
bird,缝叶莺
percussion_instrument,钟
bird,旋木
chemical_substance,鹽基
flora,配字体
athletics,玩家
hand_tool,棧板
mammal,有蹄类动物
mammal,金鋼狼
statement,逻辑非
symptom,斯卡
science,測量
game,天地逃生
linguistics,新词
bird,麝雉
emotion,欣快症
mammal,犬科动物
vertebrate,脊椎动物
bird,鷗
mammal,鼴科
building,溫室
reptile,鋸齒龍屬
symptom,黄褐病
symptom,感觉异常
reptile,鱼龙化石
bird,火鳥
herb,风铃
symptom,血红蛋白尿
science,航空工程
musical_instrument,维奥尔琴
musical_instrument,三角形
food,残羹剩饭
flora,真双子叶植物
mammal,鼠标
herb,罗勒属
drug,松弛
symptom,酮尿
symptom,高鉀血症
mammal,鼪
game,黑白棋
trait,骄傲
herb,半边莲属
bird,帆背潛鴨
furniture,喜来登
tree,扁桃
symptom,呼吸困难
game,五子棋
food,乾酪
symptom,嗜酸性粒细胞增多
science,生物信息学
trait,吝啬
hand_tool,花車
building,酒馆
crustacean,糠虾类
percussion_instrument,钢琴
symptom,閉經
rodent,硬毛鼠
tree,混農林業
wind_instrument,口琴
herb,牧草
tree,红树林
vehicle,悬链线
reptile,石龍子
science,地理学
musical_instrument,器官
feeling,性
herb,美洲商陆
food,肉类食物
crustacean,足目
bird_of_prey,鵰
bird,鸻科
science,系统学
emotion,恐惧
reptile,中龍屬
rodent,豪豬
symptom,星云
herb,牛至属
fauna,本能
science,营养学
mammal,袋鼠
herb,十字花科
drink,菜單
game,游戏性
furniture,桌子
statement,失实陈述
bird,走鹃
building,亭
musical_instrument,口風琴
reptile,陸龜
tree,山桐子属
crustacean,混足目
tree,夹竹桃
tree,皂角
fruit,番木瓜
fruit,柠檬
bird_of_prey,鷹撞擊坑
garment,运动服
percussion_instrument,⊿
fauna,蠕虫
fauna,原腸
drug,缩瞳剂
flora,自养生物
game,巴卡拉
bird,翠鸟科
reptile,合弓綱
rodent,豪猪
herb,豹皮花属
symptom,脂肪泻
fruit,耳
building,醫神
food,女拳霸
flora,勳章
symptom,肌痛
tree,水青冈属
bird,古鸟亚纲
chemical_substance,积
chemical_substance,反应
mammal,蜜熊
emotion,笑
reptile,原古蜥科
musical_instrument,啞巴
drink,一剂
flora,苗
tree,盆景
athletics,盛装舞步赛
reptile,石龙子
symptom,慌张步态
herb,矾根草
science,年代学
flora,种子
chemical_substance,通量
vehicle,輪
performer,头条新闻
symptom,蛋白尿
house,城堡
furniture,电灯
symptom,肌红蛋白尿
food,卵
athletics,自行车运动
building,旅馆
chemical_substance,农药
artist,野兽派
artist,表现派的人
bird,潜鸟属
symptom,寡尿
musical_instrument,風琴
mammal,象
fauna,人質
bird,八哥儿
mammal,马岛猬科
hand_tool,螺丝起子
herb,辣根
crustacean,異尾下目
bird_of_prey,禿鷲
food,納豆
rodent,海狸鼠
bird,天鹤座
building,山墙
flora,化石
percussion_instrument,鐵沙鈴
game,蹺蹺板
bird,白眉歌鶇
reptile,鋏龍屬
science,药理学
bird,蟆口鸱科
athletics,竞速
herb,墨角蘭
science,分类学
hand_tool,钳
game,花旗骰
chemical_substance,殺生物劑
artist,抽屜
fauna,動物園
athletics,跳水
fauna,成年人
crustacean,背甲目
emotion,憤怒
tree,无患子
herb,堇菜属
game,柶戲
flora,多汁
chemical_substance,产品
wind_instrument,卡祖笛
science,弹道学
fauna,螠虫动物门
bird,鹈
fauna,鼠疫
bird,鷿鷈屬
tree,红树
game,法罗
rodent,滨鼠科
symptom,消化不良
rodent,乳鼠屬
feeling,影响
performer,执行者
mammal,岩狸
weapon,火炮
furniture,座位
percussion_instrument,锣
symptom,气场
science,热化学
mammal,戌
weapon,枪
bird,农作物
chemical_substance,助焊剂
bird,拟鹑科
drug,嗎啡
bird,瓣蹼鹬
athletics,体操
symptom,低钠血症
bird_of_prey,苍鹰
mammal,猞猁屬
flora,科
crustacean,螃蟹
bird,波峰
flora,松葉蕨綱
bird,大鸟
emotion,神入
vehicle,工艺
game,西印度十字戲
reptile,鱼龙目
science,葡萄栽培
mammal,沙鼠
bird,鷺鶴
chemical_substance,肥料
trait,感情主义
flora,松叶蕨科
hand_tool,恐懼鬥室
tree,柚木
drink,咖啡
drink,選單
fish,自下而上的居民
fauna,貝殼
athletics,球探
bird,雀
bird,企鹅
fruit,果食主义
weapon,枪械
musical_instrument,托尔班
athletics,野外定向
bird,瓣蹼鹬属
flora,中华水韭
vehicle,救护车
drug,禁酒令
bird,剪嘴鸥属
fauna,合弓綱
food,剩飯
mammal,羚羊
flora,馴養
house,家
flora,附生植物
fruit,橘子新樂園
drug,安眠药
herb,薑黃
drug,散瞳
mammal,披毛目
fauna,狗
tree,丝兰属
vertebrate,羊膜動物
musical_instrument,⊿
drug,贩毒
athletics,登山
building,翅膀
percussion_instrument,沙锤
symptom,单核细胞增多
reptile,翼龍目
science,兵法
science,度量衡学
vehicle,雪橇
game,飞镖
cutlery,叉
herb,當歸屬
musical_instrument,定音鼓
linguistics,神经语言学
tree,刺槐
bird,土卫九
bird,珩
tree,丝兰
athletics,射箭
crustacean,淡水龙虾
garment,领带
fauna,馴養
bird,褐翅鸦鹃
symptom,噴嚏
flora,植物标本室
science,电信
symptom,耳鸣
fauna,海绵
emotion,悔改
mammal,土豚科
building,餐馆
bird,宜必思酒店
mammal,阴道
fauna,四足动物
science,工程师
game,这个笨蛋
feeling,心情
mammal,溝齒鼩
garment,西裝
game,麻将
artist,攝影師
feeling,惊愕
tree,松屬
weapon,喷火器
herb,落新妇属植物
herb,景天屬
flora,柳树
game,过不去
athletics,滑雪
tree,黄杉
fruit,扁桃
bird,朱鷺科
herb,香蕉
fauna,鼻
chemical_substance,催化剂
bird,龙骨
hand_tool,喷砂机
linguistics,术语
rodent,帕卡
tree,塞瓦
reptile,有鱗目
anger,即刻復仇
drink,碳化
weapon,斧
mammal,卯
rodent,子
flora,菌群
symptom,高血糖
food,菜單
fauna,金鋼狼
garment,帛
drug,驱梅
mammal,水獺
bird,凤头鹦鹉科
crustacean,等足类动物
flora,泥炭
flora,石松目
vehicle,救護車
herb,葛縷子
bird,叫鸭科
building,屠宰场
science,風俗
mammal,瞪羚属
mammal,多瘤齒獸目
rodent,鼴形鼠科
symptom,角膜软化症
weapon,火器
bird,冠蕉鹃
vehicle,航空器
musical_instrument,音乐家
musical_instrument,马林巴
feeling,魂之系列
flora,气孔
tree,杜仲胶
fauna,貂熊
rodent,鼠标
emotion,口渴
herb,鸦葱属
drug,沙利度胺
mammal,穿山甲
herb,烟草
building,危宿
fauna,綁架遊戲
reptile,雙孔亞綱
fruit,萨马拉
tree,翠柏
tree,栎属
food,汤
berry,藍莓
science,建筑学
flora,三叶草属
tree,鼠李
bird,鸨鸟
trait,字符
rodent,木鼠
mammal,狐狼
fauna,蛛形纲
mammal,貂屬
reptile,鱷科
bird,翠鸟属
fauna,食草动物
mammal,狐蝠科
flora,红树林
building,殿
rodent,天魔
flora,隐
herb,芝麻
bird,鵟
flora,鼠疫
garment,缠
mammal,猪
building,砌体结构
building,屋顶
illness,尿闭
flora,野草
crustacean,水蚤
herb,疆南星属
furniture,五斗柜
science,地球化学
berry,小紅莓
tree,梅花
herb,天门冬属
fauna,甲壳亚门
mammal,熊
garment,我下来
furniture,忏悔
bird,蜥鳥亞綱
building,会馆
fauna,游戏
musical_instrument,低音巴松
weapon,弩
bird,鹅
artist,插畫家
symptom,萎縮
chemical_substance,除草剂
food,酱
musical_instrument,强奸
flora,杜
building,水坝
house,落水山莊
science,本体
food,麦田
chemical_substance,塑料
rodent,鼢鼠屬
chemical_substance,油
emotion,冰上悍將
vehicle,火箭
weapon,印第安戰斧
bird,凤凰
bird,楠属
flora,胚胎
mammal,貘
furniture,床架
bird,群力
drug,消炎
flora,配子體
symptom,症候群
mammal,胎兒
flora,双子叶植物
emotion,仇恨
musical_instrument,鐵琴
hand_tool,鉗
bird,中國鳥
fauna,雜食動物
building,狂潮
tree,桉树
weapon,子彈
bird_of_prey,咔啦咔啦
athletics,碗
vehicle,电动三轮车
garment,布嘎
flora,室内植物
flora,塔拉河
mammal,狐
bird,中国鸟
flora,盐生植物
rodent,松鼠
food,椰
garment,襯衫
linguistics,單詞
fauna,哺乳动物
garment,抹胸
fauna,无脊椎动物
drug,吗啡
reptile,鳄
game,蟋蟀
mammal,獸亞綱
fruit,浆果
science,晶体学
mammal,后哺乳下纲
fruit,香辛料
food,選單
drug,左洛啡烷
bird,扇尾鹟
bird,热河鸟
drug,鏈黴素
science,自然
rodent,八齿鼠属
flora,荚果
vertebrate,七鳃鳗
tree,翠柏属
flora,鹰咀豆属
illness,淀粉样变
hand_tool,锥子
science,农业生物
building,中心
garment,磨砂
crustacean,瑰珀
rodent,刺豚鼠科
athletics,堅忍撞擊坑
chemical_substance,熏蒸剂
cutlery,叉勺
flora,水
performer,演員
bird,鹃鸠属
emotion,焦慮
herb,蒔蘿
drink,克非尔
crustacean,鳃
tree,曼地亚红豆杉
flora,藤本植物
flora,目
herb,蜘蛛抱蛋
feeling,庭
athletics,羽毛球
tree,水杉
vehicle,獨輪車
symptom,腹痛
building,戰區
drug,布洛芬
fauna,戌
weapon,炸弹
reptile,调孔亚纲
feeling,激情
mammal,蹄兔目
garment,可逆
fruit,胚珠
linguistics,社会语言学
herb,菊苣
rodent,田鼠
building,附属建筑
building,温室
rodent,豪猪型亚目
mammal,会厌
building,神庙
symptom,黄萎病
weapon,刀锋战士
fauna,轮虫
feeling,情绪
flora,苜
athletics,爭先賽
symptom,癢
vehicle,宇宙飞船
bird_of_prey,蛇鵰屬
bird,鸨
science,测量学
herb,葶
furniture,表格
berry,黑莓手機
symptom,高钾血症
trait,田园风光
bird,鵰
mammal,狗
herb,天竺葵
rodent,囊鼠科
game,羽毛球
science,植物学
hand_tool,锤
food,小麦
vertebrate,羊膜
garment,洗衣
mammal,肉齒目
food,餐厅
emotion,勇气
statement,字
drink,米尔克
weapon,迫击炮
fruit,西瓜
tree,榆屬
symptom,胃灼热
athletics,赛艇
science,细菌学
mammal,灵猫
emotion,聖訴
drink,机弦
emotion,骄傲
herb,老鸛草屬
performer,独白者
drink,伏特加酒
herb,酢浆草
building,滑冰场
performer,脫衣舞孃
athletics,插水
reptile,長鱗龍屬
illness,淀粉样变性病
hand_tool,刻刀
reptile,槽齒目
fauna,恒温动物
vehicle,链状
flora,水韭
fruit,幼果
game,冰壶
house,旅馆
rodent,豚鼠
emotion,認命
crustacean,端足類
food,玉米饼
game,捉迷藏
herb,迪爾河
fauna,雌性
tree,鸡血藤
flora,萝卜
tree,金雞納樹
herb,芝麻菜
herb,罗勒
flora,南瓜
mammal,河马属
linguistics,发音学
flora,毛茛属
berry,樹莓
tree,果園
bird,三塔中國鳥
vehicle,教练
weapon,剑
mammal,有蹄類
bird,樞機
tree,瓶子树
mammal,胎盘
drug,利尿劑
bird,聖高隆
symptom,眩晕
game,跷跷板
fauna,生存者
mammal,胡狼
weapon,雙節棍
trait,违纪行为
fauna,肝
symptom,月经过多
symptom,高钙血症
crustacean,鰓足綱
bird,草鸮属
garment,裙
flora,蔬菜
performer,牛仔
flora,瓶爾小草目
percussion_instrument,马拉卡
game,宾果游戏
flora,花粉
mammal,啮齿动物
bird,蜂鸟
fauna,贝壳
feeling,性别
vehicle,躺車
herb,彩叶草
flora,向日葵属
reptile,喙頭龍目
drug,哌甲酯
musical_instrument,曼多林
mammal,食肉目
bird,刺葵属
tree,刺桐属
herb,鹿蹄草
science,土壤学
symptom,含铁血黄素沉着症
fruit,颖果
bird,燕雀科
game,玩家
tree,可可
emotion,满意
reptile,滄龍科
musical_instrument,大鍵琴
science,金融
herb,牛舌草属
drug,催眠
chemical_substance,柔软剂
symptom,发抖的
symptom,气喘
rodent,睡鼠科
fauna,鼴科
weapon,箔
herb,梅利莎
feeling,骄傲
fauna,撞死
fruit,樱
fauna,化石
percussion_instrument,定音鼓
food,生产
furniture,內閣
house,门房
rodent,水豚
emotion,饑渴誘罪
symptom,低鉀血症
musical_instrument,曼陀林
linguistics,术语学
vehicle,独轮车
herb,番茄
tree,桂皮
fruit,橙色
game,板球
herb,白菜
tree,蔷薇木
herb,猪屎豆
percussion_instrument,三角铁
mammal,袋犬目
science,语言学
science,欧几里得
building,天文台
feeling,喜欢
feeling,疼痛
building,图书馆
symptom,高鈉血症
game,百家樂
science,范式
feeling,悲傷
mammal,鼠兔
weapon,拋體運動
house,複式單位
crustacean,桡足类
emotion,語感
fauna,两足
flora,谷物
vehicle,航天器
building,部
food,酸奶
bird,海雀
athletics,動力運動
herb,毛地黄属
vertebrate,七鰓鰻亞綱
building,灯塔
herb,男孩和女孩
symptom,膿瘡
food,口腔
house,屋顶
food,黄油
athletics,浮士德球
science,系統分類學
berry,草莓
bird,金剛鸚鵡
building,饲养场
food,海鮮
mammal,貂熊
fauna,屠宰场
tree,花楸属
weapon,迴旋鏢
symptom,發紺
fauna,口腔
bird_of_prey,卡拉卡拉鷹
game,躲猫猫
bird,鷸鴕
food,原浆
fauna,皮卡蟲
symptom,膿尿
illness,过强
food,蛋
percussion_instrument,彈音器
weapon,十手
percussion_instrument,三角形
flora,葛
flora,多年生
emotion,爱
fauna,佩斯
